                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3431,                 2.5903,                 1.3395,                0.48649,                0.50634,                0.46088,                0.26661,                 1.3496,                 2.5043,                 1.3008,             0.00033036,             0.00033036,             0.00033036
                      2,                 1.3687,                 1.8479,                 1.3387,                0.41231,                0.48478,                0.42516,                0.24139,                 1.4829,                 2.1111,                 1.4637,             0.00065712,             0.00065712,             0.00065712
                      3,                 1.4103,                 1.7508,                  1.378,                0.59061,                0.55723,                0.57625,                0.34545,                 1.4245,                  2.054,                 1.4326,             0.00097728,             0.00097728,             0.00097728
                      4,                 1.4103,                  1.758,                 1.3735,                 0.6476,                0.53071,                0.58365,                0.35424,                 1.4246,                 1.7292,                 1.4059,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.3884,                 1.6904,                 1.3548,                0.68646,                0.56073,                0.64004,                0.39949,                 1.3871,                 1.4506,                 1.3644,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.3806,                 1.5962,                 1.3541,                0.63148,                0.56131,                0.60817,                0.37504,                 1.3699,                 1.5835,                 1.4036,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.3222,                 1.5204,                  1.317,                0.67317,                0.59916,                 0.6673,                0.42128,                 1.3062,                 1.5715,                 1.3363,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3018,                 1.4784,                   1.31,                0.65393,                0.67083,                0.70567,                0.46133,                 1.2695,                 1.3264,                 1.3241,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.2959,                 1.4578,                  1.287,                 0.6589,                0.62373,                0.67388,                0.43642,                 1.3265,                 1.4182,                 1.3358,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2515,                 1.4421,                 1.2678,                0.61637,                0.70736,                0.71931,                0.46215,                 1.2685,                 1.4333,                 1.2994,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.2556,                 1.3871,                 1.2725,                0.69272,                0.67209,                0.71564,                0.46736,                 1.2519,                 1.3797,                 1.3031,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.2372,                 1.3264,                 1.2547,                0.61466,                0.67916,                0.70115,                0.45445,                 1.2416,                 1.2935,                 1.2857,               0.000901,               0.000901,               0.000901
                     13,                 1.2103,                 1.3004,                 1.2316,                0.67765,                0.65376,                0.72107,                0.47476,                 1.2414,                 1.2969,                 1.3087,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.1935,                 1.2807,                 1.2348,                0.61844,                0.74727,                0.73378,                0.50234,                 1.2026,                 1.2213,                 1.2574,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.2111,                 1.2789,                 1.2357,                0.72951,                0.66673,                0.75025,                0.50801,                 1.1982,                 1.1844,                 1.2662,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.1763,                 1.2205,                 1.2174,                0.69928,                0.73977,                0.78314,                0.52527,                 1.2164,                 1.1376,                 1.2734,              0.0008614,              0.0008614,              0.0008614
